surname	firstname	music	nationality	birth	death
A.	Jag	Je t'aime Juliette	unknown	unknown	unknown
Aadler	C. A.	Floating Islands	unknown	unknown	unknown
Aagesen	Truid	Cantiones trium vocum	Danish	1500	1600
Aaron	Michael	Piano Course	unknown	unknown	unknown
Aarons	Alfred E.	Brother Bill	unknown	unknown	unknown
Aarons	Alfred E.	A China Doll	unknown	unknown	unknown
Aarup	Caia	Before the Dawn	unknown	1868	1928
Aarup	Caia	In Explanation	unknown	1868	1928
Abadie	Louis	L'amoureuse de Guéret	unknown	unknown	unknown
Abadie	Louis	André Vésale	unknown	unknown	unknown
Abadie	Louis	Ange du ciel	unknown	unknown	unknown
Abadie	Louis	L'apôtre	unknown	unknown	unknown
Abadie	Louis	Attisez le feu	unknown	unknown	unknown
Abadie	Louis	Bachelette	unknown	unknown	unknown
Abadie	Louis	La barquette	unknown	unknown	unknown
Abadie	Louis	Le bon temps	unknown	unknown	unknown
Abadie	Louis	La Catalane	unknown	unknown	unknown
Abadie	Louis	Jeune poule et vieux coq	unknown	unknown	unknown
Abadie	Louis	Kepler mourant	unknown	unknown	unknown
Abbatessa	Giovanni Battista	Ghirlanda di varii fiori	Italian	unknown	unknown
Abbatini	Antonio Maria	Dilatate sunt tribulationes	Italian	unknown	unknown
Abbatini	Antonio Maria	Missa sexdecim vocibus concinenda	Italian	unknown	unknown
Abbey	Alonzo Judson	Elmira	unknown	unknown	unknown
Abbey	Alonzo Judson	The Old Farmer's Grave	unknown	unknown	unknown
Abbiate	Louis	Cello Sonata No.1, Op.12	unknown	1866	1933
Abbiate	Louis	Nouvelle méthode de violoncelle	unknown	1866	1933
Abbiate	Louis	Préludes et fugues	unknown	1866	1933
Abbot	Asahel	The Conqueror's Last Sleep	unknown	unknown	unknown
Abbot	Asahel	Love's Called a Dream	unknown	unknown	unknown
Abbot	John M.	L'espérance	unknown	unknown	unknown
Abbott	C. D.	Abbott's Polka	unknown	unknown	unknown
Abbott	C. D.	The Badger Polka	unknown	unknown	unknown
Abbott	C. D.	Christy's Polka	unknown	unknown	unknown
Abbott	C. D.	The Colored Orphan Boy	unknown	unknown	unknown
Abbott	C. D.	Gingers Wedding	unknown	unknown	unknown
Abbott	C. D.	Rosa Dear	unknown	unknown	unknown
Abbott	J. R.	I Loved Thee Too Dearly	unknown	unknown	unknown
Abbott	Jane Bingham	Alone with God	unknown	unknown	unknown
Abbott	Jane Bingham	Just for Today	unknown	unknown	unknown
Abbott	Jane Bingham	Think of Today	unknown	unknown	unknown
Abbott	Simon Alexander	Accedens revolvit lapidem	unknown	unknown	unknown
Abbott	Simon Alexander	Musical Reflection	unknown	unknown	unknown
Abdey	Alfred William	Grand choeur	unknown	unknown	unknown
Abdey	Alfred William	Pam the Wonder-Child	unknown	unknown	unknown
Abe	Sakari	Kagayaki, Op.26 No.2	unknown	1905	1955
Abeelen	Henri van den	The Blue Bells of Scotland	unknown	unknown	unknown
Abeille	Ludwig	Aschermittwochlied, Op.11	unknown	1761	1838
Abeille	Ludwig	Fantasia in A major, Op.4	unknown	1761	1838
Abeille	Ludwig	Variations on an Andante in B-flat major	unknown	1761	1838
Abel	Carl Friedrich	Cello Concerto in B-flat major, WK 52	German	1723	1787
Abel	Carl Friedrich	Flute Concerto in C major, WK 51	German	1723	1787
Abel	Carl Friedrich	Flute Sonata in D major	German	1723	1787
Abel	Carl Friedrich	Horn Concerto in E-flat major, WK deest	German	1723	1787
Abel	Carl Friedrich	Horn Concerto in E-flat major	German	1723	1787
Abel	Carl Friedrich	Keyboard Trio in C major, WK 111	German	1723	1787
Abel	Carl Friedrich	Keyboard Trio in F major, WK 112	German	1723	1787
Abel	Carl Friedrich	Quartet in D major, WK 226	German	1723	1787
Abel	Carl Friedrich	Quartet in F major, WK 225	German	1723	1787
Abel	Carl Friedrich	Sinfonia concertante in B-flat major, WK 42	German	1723	1787
Abel	Carl Friedrich	Sinfonia concertante in D major, WK 43	German	1723	1787
Abel	Carl Friedrich	String Quartet in E-flat major, WK 63	German	1723	1787
Abel	Carl Friedrich	Symphony in B-flat major, WK 1	German	1723	1787
Abel	Carl Friedrich	Symphony in C major, WK 2	German	1723	1787
Abel	Carl Friedrich	Symphony in D major, WK 3	German	1723	1787
Abel	Carl Friedrich	Symphony in E-flat major, WK 4	German	1723	1787
Abel	Carl Friedrich	Symphony in F major, WK 5	German	1723	1787
Abel	Carl Friedrich	Symphony in G major, WK 6	German	1723	1787
